commentRate,productRate,starRate,stt,timeRate,userRate
N\u1ed3i b\u1ef1 t\u00e9 x\u0129u \ud83e\udd23 ngh\u00eda n\u00f3 b\u00ean shopee m\u1ea5y b\u1eefa r\u1ed3i. Th\u1ea5y tiki sale th\u00f4i l\u1ee5m li\u1ec1n. V\u1eeba nh\u1eadn s\u00e1ng th\u00ec chi\u1ec1u shopee n\u00f3 sale \ud83d\ude15 xu c\u00e0 na. Mua shopee \u0111c t\u00ednh xu \ud83d\ude2d,71159586,5,9,1604579359,Mi Nguy\u1ec5n
"N\u1ed3i th\u00ec giao 12\/11 r\u1ed3i nh\u01b0ng m\u00ecnh v\u1eabn ch\u01b0a nh\u1eadn \u0111\u01b0\u1ee3c qu\u00e0 t\u1eb7ng k\u00e8m l\u00e0 b\u00ecnh lock&lock 1,5l theo ch\u01b0\u01a1ng tr\u00ecnh KM khi mua n\u1ed3i chi\u00ean kh\u00f4ng d\u1ea7u lock&lock 7,2l nh\u00e9.",71159586,4,10,1605535114,Hoang Tu
"N\u00f3i chung \u0111\u1ed3 \u0103n ngon l\u1ea1i k t\u1ed1n d\u1ea7u \u0103n, r\u1ea5t \u01b0ng \u00fd, canh sale mua th\u00eam 2 c\u00e1i d\u00f9m c\u00f4 h\u00e0ng x\u00f3m",71159586,5,11,1606926539,Ho\u00e0ng Th\u1ecb Hoa
T\u00f4i \u0111\u00e3 mua n\u1ed3i 7.2l ..\u0111\u00fang l\u00e0 to v\u1eadt v\u00e3 nh\u01b0ng r\u1ea5t \u01b0ng \u00fd.c\u00f2n c\u00e1i b\u00ecnh gi\u1eef nhi\u1ec7t l\u00e0 qu\u00e0 t\u1eb7ng \u0111i k\u00e8m sao ko th\u1ea5y giao.xin tr\u1ea3 l\u1eddi cho t\u00f4i bi\u1ebft nh\u00e9,71159586,5,12,1605588486,TR\u1ea6N NG\u1eccC \u00c1NH
"L\u1ea7n \u0111\u1ea7u ti\u00ean d\u00f9ng n\u1ed3i chi\u00ean kh\u00f4ng d\u1ea7u, c\u00f2n \u0111ang m\u00e0y m\u00f2 n\u00ean \u0111\u1ebfn h\u00f4m nay m\u1edbi \u0111\u00e1nh gi\u00e1, h\u00e0ng c\u1ee7a Tiki giao th\u00ec \u1ed5n r\u1ed3i, ng\u01b0\u1eddi giao h\u00e0ng nhi\u1ec7t t\u00ecnh",71159586,5,13,1605525198,B\u00f9i Th\u1ecb Ng\u1ecdc V\u00e2n
Xu\u1ea5t s\u1eafc!!!!! N\u1ed3i v\u1eadn chuy\u1ec3n c\u1ef1c nh\u1eb9 nh\u00e0ng. Shipper d\u1ec5 th\u01b0\u01a1ng. Khui ktra r\u1ed3i shipper m\u1edbi \u0111i. Gi\u1edbi thi\u1ec7u b\u1ea1n b\u00e8 mua \u0111c gi\u00e1 r\u1ebb b\u1ea1n b\u00e8 th\u00edch l\u1eafm.,71159586,5,14,1606270947,Ch\u00e2u Thu\u00fd An
moi th\u1eed th\u1ea5y c\u0169ng \u1ed5n. ch\u1edd theo n\u0103m th\u00e1ng xem sao,71159586,4,15,1606031668,Vo The Duy
\u0110\u00f3ng g\u00f3i k\u1ef9 c\u00e0ng. M\u00e1y dung t\u00edch l\u1edbn n\u00ean sd r\u1ea5t tho\u1ea3i m\u00e1i. Ti\u1ebft ki\u1ec7m \u0111\u01b0\u1ee3c r\u1ea5t nhi\u1ec1u th\u1eddi gian. Sp r\u1ea5t t\u1ed1t \ud83d\ude18,71159586,5,16,1605539498,Tr\u1ea7n Th\u1ecb Kim Ng\u00e2n
"11\/11 m\u00ecnh mua n\u1ed3i c\u00f3 t\u1eb7ng k\u00e8m b\u00ecnh gi\u1eef nhi\u1ec7t ma nay nh\u1eadn ko c\u00f3. N\u1ed3i to v\u1eadt v\u00e3, giao nhanh nh\u01b0ng b\u1ecb l\u1ed7i v\u1ecf ch\u00fat x\u00edu",71159586,3,17,1605276162,Do Ly
\u0110\u00f3ng g\u00f3i \u0111\u1eb9p. S\u1ea3n ph\u1ea9m kh\u00f4ng b\u1ecb m\u00f3p m\u00e9o. Mai m\u00ecnh s\u1ebd mua \u0111\u1ed3 v\u1ec1 n\u01b0\u1edbng th\u1eed \ud83d\ude01\ud83d\ude01\ud83d\ude01,71159586,5,18,1607867738,Son Hoang Anh
Ch\u01b0a s\u1eed d\u1ee5ng n\u00ean ch\u01b0a bi\u1ebft s\u1ea3n ph\u1ea9m nh\u01b0 th\u1ebf n\u00e0o. N\u00f3i chung mua Tikinow dc ship nhanh trong v\u00f2ng 2 ti\u1ebfng. C\u0169ng ko bi\u1ebft ch\u00ednh s\u00e1ch b\u1ea3o h\u00e0nh b\u00ean tiki nh\u01b0 th\u1ebf n\u00e0o lu\u00f4n\nS\u1ebd tri\u1ec3n khai l\u00e0m th\u1eed m\u00f3n smothie xo\u00e0i chi\u1ec1u nay r\u1ed3i g\u00f3p \u00fd sau! \nBan \u0111\u1ea7u nh\u00ecn nguy\u00ean v\u1eb9n ko x\u1ee9t m\u1ebb g\u00ec tuy nhi\u00ean n\u1eafp h\u01a1i tr\u1ea7y ch\u1ee9 ko m\u1edbi 100%,48025253,5,1,1585895854,V\u0103n Nguy\u1ec5n Tr\u00e0 My
"M\u00ecnh mua v\u1ec1 s\u1ea1c v\u00e0 l\u1ea7n \u0111\u1ea7u th\u1ea5y kh\u00e1 \u1ed5n nh\u01b0ng \u0111\u1ebfn hnay mang ra d\u00f9ng m\u1eb7c d\u00f9 \u0111\u00e3 s\u1ea1c r\u1ea5t l\u00e2u v\u00e0 \u0111\u00e8n b\u00e1o tr\u1eafng nh\u01b0ng kh\u1edfi \u0111\u1ed9ng kh\u00f4ng ch\u1ea1y v\u00e0 nh\u00e1y \u0111\u00e8n \u0111\u1ecf. S\u1ea1c th\u00eam th\u00ec b\u00e1o \u0111\u00e8n tr\u1eafng ngay v\u00e0 s\u1ea1c kho\u1ea3ng 1-2 ti\u1ebfng th\u1eed l\u1ea1i v\u1eabn kh\u00f4ng \u0111\u01b0\u1ee3c.\n\nCho m\u00ecnh h\u1ecfi c\u00f3 th\u1ec3 tr\u1ea3 l\u1ea1i \u0111\u01b0\u1ee3c kh\u00f4ng v\u00ec g\u1ea7n \u0111\u00e2y m\u00ecnh mua m\u1ea5y \u0111\u1ed3 li\u00ean quan \u0111\u1ebfn \u0111i\u1ec7n t\u1eed (c\u00e1p chuy\u1ec3n \u0111\u1ed5i) kh\u00f4ng d\u00f9ng \u0111\u01b0\u1ee3c, \u0111\u1ed5i \u0111i \u0111\u1ed5i l\u1ea1i v\u1eabn v\u1eady m\u00e0 m\u00ecnh n\u1ea3n kh\u00f4ng mu\u1ed1n li\u00ean h\u1ec7 n\u1eefa m\u00e0 coi nh\u01b0 b\u1ecf lu\u00f4n. V\u00ec v\u1eady nh\u1edd tiki xem x\u00e9t c\u00f3 ch\u00ednh s\u00e1ch tr\u1ea3 h\u00e0ng gi\u00fap m\u00ecnh kh\u00f4ng?",48025253,1,2,1605841611,Trang Ngoc Huyen Pham
"M\u00e1y r\u1ea5t \u0111\u1eb9p, g\u1ecdn, sang tr\u1ecdng. M\u00ecnh hay xay kh\u1ea9u ph\u1ea7n \u0103n s\u00e1ng c\u1ee7a Herbalife n\u00ean th\u1ea5y ti\u1ec7n.  M\u00ecnh ngh\u0129 xay tr\u00e1i c\u00e2y m\u1ec1m ho\u1eb7c l\u00e0m s\u1eefa h\u1ea1t sen, s\u1eefa y\u1ebfn m\u1ea1ch s\u1ebd r\u1ea5t ti\u1ec7n v\u00e0 ngon, \u0111\u1ec3 m\u00ecnh th\u1eed. V\u1ec7 sinh c\u0169ng d\u1ec5. Tuy nhi\u00ean sao th\u1ea5y \u0111\u1ec3 4V, m\u00e0 c\u1ee5c s\u1ea1c \u0111t th\u00ec t\u1edbi 5V, c\u1ed5ng s\u1ea1c m\u00e1y t\u00ednh th\u00ec 5.5V. Ko bi\u1ebft s\u1ea1c \u0111c ko? nh\u1edd Tiki t\u01b0 v\u1ea5n th\u00eam v\u1ec1 vi\u1ec7c s\u1ea1c pin.",48025253,5,3,1590714885,Tr\u1ea7n Th\u1ecb B\u1eb1ng
"L\u00fac mua c\u0169ng h\u1ed3i h\u1ed9p s\u1ee3 nh\u01b0 m\u00e1y \u0111\u1ed3 ch\u01a1i, nh\u01b0ng nh\u1eadn h\u00e0ng, d\u00f9ng xong th\u00ec th\u1ea5y kh\u00e1 ok.\nM\u00e1y nh\u1ecf g\u1ecdn, ti\u1ec7n mang \u0111i l\u00e0m \u0111i ch\u01a1i. Xay tr\u00e1i c\u00e2y m\u1ec1m v\u00e0 \u0111\u00e1 bi kh\u00e1 ok. Trong h\u00ecnh l\u00e0 m\u00ecnh xay kiwi th\u00eam ch\u00fat n\u01b0\u1edbc v\u00e0 v\u00e0i vi\u00ean \u0111\u00e1 bi. M\u00ecnh b\u1ea5m cho m\u00e1y xay 2 l\u1ea7n l\u00e0 t\u1ea5t c\u1ea3 \u0111\u1ec1u m\u1ecbn.\nTi\u1ebfng m\u00e1y xay c\u0169ng nh\u1ecf ch\u1ee9 kh\u00f4ng qu\u00e1 \u1ed3n.",48025253,5,4,1606113522,Hu\u1ef3nh H\u1eefu Th\u1ecd
"\u0110i\u1ec3m m\u1ea1nh\n+ M\u1eabu m\u00e3 \u0111\u01a1n gi\u1ea3n r\u1ea5t \u0111\u1eb9p, ch\u1ee5p h\u00ecnh s\u1ed1ng \u1ea3o r\u00e2t th\u00edch\n+ Ly nh\u1ecf g\u1ecdn ti\u1ec7n mang theo khi \u0111i t\u1eadp n\u1ebfu b\u1ea1n mu\u1ed1n u\u1ed1ng n\u01b0\u1edbc \u00e9p tr\u00e1i c\u00e2y nhanh g\u1ecdn l\u1eb9\n+ N\u1eafp \u0111\u1eady k\u00edn, ko s\u1ee3 tr\u00e0o ra khi mang theo \n\u0110i\u1ec3m y\u1ebfu:\n+ Dung t\u00edch h\u01a1i nh\u1ecf, n\u00ean b\u1ea1n n\u00e0o mu\u1ed1n u\u1ed1ng nhi\u1ec1u n\u01b0\u1edbc th\u00ec n\u00ean ch\u1ecdn lo\u1ea1i b\u00ecnh c\u00f3 dung t\u00edch l\u1edbn h\u01a1n\n+ S\u1ef1 d\u1ee5ng nhi\u1ec1u l\u1ea7n trong ng\u00e0y s\u1ebd r\u1ea5t mau h\u1ebft pin n\u00ean 1 tu\u1ea7n c\u0169ng s\u1ea1c \u0111\u00e2u \u0111\u00f3 2 3 l\u1ea7n.\n+ N\u1ebfu s\u1eed d\u1ee5ng l\u1ed1 h\u01a1n m\u1ee9c dung t\u00edch cho ph\u00e9p th\u00ec khi v\u1eb7n n\u1eafp ra c\u00f3 th\u1ec3 s\u1ebd b\u1ecb tr\u00e0o n\u01b0\u1edbc ra ngo\u00e0i, n\u1ebfu x\u00e0i t\u1ed1t nh\u1ea5t l\u00e0 cho \u00edt n\u01b0\u1edbc khi xay tr\u00e1i c\u00e2y xong r\u1ed3i cho \u0111\u00e1 v\u00e0 sau.",48025253,3,5,1588757872,Tr\u1ea7n Ph\u1ea1m Qu\u1ef3nh Anh
"s\u1ea1c m\u1ea5t kho\u1ea3ng 40 ph\u00fat th\u00ec \u0111\u00e8n s\u00e1ng tr\u1eafng. ban \u0111\u1ea7u do ko \u0111\u1ecdc h\u01b0\u1edbng d\u1eabn m\u00ecnh ch\u1ec9 \u1ea5n n\u00fat on\/off 1 l\u1ea7n ko th\u1ea5y ch\u1ea1y, h\u00f3a ra ph\u1ea3i nh\u1ea5n double li\u00ean ti\u1ebfp. m\u00e1y ch\u1ea1y \u00eam v\u00e0 xay kh\u00e1 nhuy\u1ec5n. r\u1ea5t ti\u1ec7n l\u1ee3i \u0111\u1ec3 mang \u0111\u1ebfn v\u0103n ph\u00f2ng ho\u1eb7c c\u00f3 b\u1eefa s\u00e1ng nhanh \u0111\u1ee7 ch\u1ea5t.",48025253,5,6,1584154152,Tran Tra My
"H\u1ed3i \u0111\u1ea7u \u0111\u1eb7t h\u00e0ng m\u00ecnh c\u0169ng h\u01a1i hoang mang v\u00ec trong ph\u1ea7n review c\u00f3 ng\u01b0\u1eddi b\u1ea3o h\u00e0ng kh\u00f4ng \u0111\u1ea3m b\u1ea3o ch\u1ea5t l\u01b0\u1ee3ng, nhanh xu\u1ed1ng pin, xay kh\u00f4ng nhuy\u1ec5n v.v. Nh\u01b0ng \u0111\u1eb7t v\u1ec1 r th\u00ec ho\u00e0n h\u1ea3o kh\u00f4ng th\u1ec3 ch\u00ea \u0111\u01b0\u1ee3c. M\u00ecnh d\u00f9ng n\u00f3 \u0111\u1ec3 xay tr\u00e1i c\u00e2y m\u1ec1m th\u00ec c\u1ef1c k\u1ef3 nhuy\u1ec5n lu\u00f4n, m\u00e0 nhanh n\u1eefa, t\u1ea7m 9-10s \u0111\u00e3 c\u00f3 m\u1ed9t ly sinh t\u1ed1 ngon l\u00e0nh r\u1ed3i. M\u00ecnh kh\u00f4ng d\u00e1m cho \u0111\u00e1 v\u00ec s\u1ee3 mau h\u01b0 m\u00e1y, c\u1ee7a b\u1ec1n t\u1ea1i ng\u01b0\u1eddi n\u1eefa m\u00e0. N\u00f3i chung m\u00e1y ch\u1ea1y r\u1ea5t t\u1ed1t, m\u00ecnh kh\u00f4ng c\u00f3 g\u00ec ph\u00e0n n\u00e0n. C\u00f3 c\u00e1i l\u00fac \u0111\u1eady n\u1eafp l\u1ea1i, m\u1ecdi ng\u01b0\u1eddi nh\u1edb v\u1eb7n n\u1eafp sao cho hai n\u00fat tr\u00f2n m\u00e0u tr\u1eafng n\u1eb1m tr\u00ean m\u1ed9t \u0111\u01b0\u1eddng th\u1eb3ng nh\u00e9, v\u1eady m\u00e1y m\u1edbi ho\u1ea1t \u0111\u1ed9ng. C\u00f2n v\u1ec1 \u0111\u1ed9 nhi\u1ec1u c\u1ee7a pin, m\u00ecnh s\u1ea1c m\u1ed9t l\u1ea7n 2-2,5 ti\u1ebfng, v\u00e0 v\u1eabn c\u00f2n pin \u0111\u1ec3 s\u1eed d\u1ee5ng sau g\u1ea7n m\u1ed9t tu\u1ea7n (c\u00f3 l\u1ebd do m\u00ecnh ch\u1ec9 xay 1 ly 1 ng\u00e0y n\u00ean kh\u00f4ng nhanh h\u1ebft pin).",48025253,5,7,1608014162,Tam Mai
"Kh\u00f4ng bi\u1ebft l\u00e0 do m\u00e1y v\u1ed1n d\u0129 nhanh h\u1ebft pin hay l\u00e0 l\u00e0 do pin c\u00f3 v\u1ea5n \u0111\u1ec1 nh\u1ec9, h\u00f4m qua m\u1edbi mua v\u1ec1 m\u1eb9 m\u00ecnh s\u1ea1c h\u01a1n 1 ti\u1ebfng m\u1ea5y th\u00ec \u0111\u00e8n tr\u1eafng, nh\u01b0ng khi m\u1edbi x\u00e2y \u0111\u01b0\u1ee3c 2 l\u1ea7n th\u00ec l\u1ea1i b\u00e1o h\u1ebft pin, \u0111\u00e8n \u0111\u1ecf nh\u1ea5p nh\u00e1y nhi\u1ec1u d\u00f9 m\u00ecnh b\u1ecf th\u1ee9c \u0103n v\u00f4 v\u00e0 kh\u00f4ng xay \u0111\u01b0\u1ee3c m\u00e0 c\u1ee9 \u0111\u00e8 \u0111\u1ecf nh\u1ea5t nh\u00e1y c\u0169ng kh\u00f4ng nhi\u1ec1u n\u00ean s\u1ea1c th\u1eed 5p th\u00ec l\u1ea1i xay ok \u0111\u01b0\u1ee3c m\u1ed9t t\u00ed r\u1ed3i l\u1ea1i b\u1ecb v\u1eady n\u01b0a. trong khi tr\u00ean c\u00f3 ng xay th\u01b0\u1eddng xuy\u00ean 1 tu\u1ea7n m\u1edbi ph\u1ea3i s\u1ea1c l\u1ea1i.",48025253,2,8,1601269324,Nguy\u1ec5n Ch\u00e2u
"M\u00e1y xay d\u00f9ng t\u1ed1t. S\u1ea1c d\u00e2y c\u1eafm t\u1eeb n\u00ean ch\u1ed1ng n\u01b0\u1edbc an to\u00e0n. M\u1ed7i t\u1ed9i l\u00e0 dung t\u00edch h\u01a1i \u00edt n\u00ean hay ph\u1ea3i chia th\u00e0nh 2 l\u1ea7n xay. Xay \u0111\u1ed3 ko c\u00f3 v\u1ecf kh\u00e1 m\u1ecbn, n\u1ebfu c\u00f3 v\u1ecf th\u00ec c\u00f2n l\u1ee3n c\u1ee3n 1 t\u00ed. S\u1ea1c kho\u1ea3ng h\u01a1n ti\u1ebfng l\u00e0 \u0111\u00e8n b\u00e1o \u0111\u1ea7y pin. C\u1ed1c to d\u1ec5 r\u1eeda. Gi\u00e1 m\u00e0 nsx l\u00e0m th\u00eam 1 n\u1eafp \u0111\u1eady cho c\u1ed1c th\u00ec tr\u1eef l\u1ea1nh ti\u1ec7n h\u01a1n",48025253,5,9,1600437868,MiTu Nguy\u1ec5n
"\u0110\u1eb7t ng\u00e0y 27 t\u1edbi 28 nh\u1eadn \u0111c r\u1ed3i nhanh qu\u00e1 lu\u00f4n. N\u1ed3i to ch\u01b0a dung th\u1eed n\u00ean k bi\u00eat ntn, t\u1ea1m th\u1eddi cho 5* v\u00ec giao h\u00e0ng nhanh",71159586,5,19,1606623378,Nguyen Thi Hien
"N\u1ed3i chi\u00ean ngon, th\u1ee9c \u0103n v\u00e0ng th\u01a1m h\u1ea5p d\u1eabn. Nh\u01b0ng ch\u1ebf \u0111\u1ed9 h\u00e2m c\u1ee7a m\u00e1y kh\u00f4ng s\u00e1ng \u0111\u00e8n. T\u01b0 v\u1ea5n l\u1ea1i d\u00f9m nh\u00e9.",71159586,4,20,1607874612,Ph\u1ea1m Th\u1ecb Kim Dung
Ok,71159586,4,21,1605232754,Qu\u1ef3nh Giang
"N\u01b0\u1edbng nhanh v\u00e0 ngon, gi\u1eef \u0111\u01b0\u1ee3c n\u01b0\u1edbc ko b\u1ecb kh\u00f4 t\u00ed n\u00e0o. SP n\u00e0y \u0111\u00e1ng mua!",71159586,5,22,1606315791,H\u00e0 Thanh
R\u1ea5t \u1ed5n nha,71159586,5,23,1605592676,Truong Anh
"S\u1ea3n ph\u1ea9m t\u1ed1t h\u01a1n mong \u0111\u1ee3i, mua \u0111\u00fang d\u1ecbp km n\u00ean \u0111\u01b0\u1ee3c gi\u00e1 t\u1ed1t. C\u1ea3m \u01a1n tiki nh\u00e9.",71159586,5,24,1606016425,tr\u1ea7n h\u00e0
Thi\u1ebfu qu\u00e0 khuy\u1ebfn m\u00e3i r\u1ed3i shop \u01a1i. Khi n\u00e0o m\u00ecnh m\u1edbi nh\u1eadn\u0111\u01b0\u1ee3c qu\u00e0 khuy\u1ebfn m\u00e3i v\u1eady,71159586,2,25,1605267878,Nguy\u1ec5n T\u1ed1 Nh\u00e2n
"M\u00ecnh mua l\u00fac tr\u01b0\u1edbc t\u1ebft. gi\u00e1 gi\u1ea3m c\u00f2n 2tr2 th\u00f4i, dc km n\u00ean mua lu\u00f4n. H\u00e0ng \u0111\u00f3ng g\u00f3i c\u1ea9n th\u1eadn, k b\u1ecb tr\u1ea7y x\u01b0\u1edbc. Th\u1eed dc r\u1ea5t nhi\u1ec1u m\u00f3n, \u0111\u1eb7c bi\u1ec7t l\u00e0 heo quay da r\u1ea5t gi\u00f2n. K\u1ec3 c\u1ea3 s\u1ea5y m\u1ee9t, l\u00e0m b\u00e1nh \u0111\u1ec1u r\u1ea5t ok. M\u00ecnh \u0111g d\u1ef1 \u0111\u1ecbnh mua th\u00eam 1 c\u00e1i n\u1eefa. C\u1ea3m \u01a1n Tiki nhi\u1ec1u.",36626940,5,0,1580272515,My Duyen
